+----+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
| K  |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
| 10 |          10.0         |  6  | RBF(γ = 0.09999999999999999)  |       0.174       |       0.045       |  0.11 |
| 10 | 9.999999999999999e-05 |  6  |         RBF(γ = 1.0)          |       0.312       |        0.26       | 0.286 |
| 10 |         0.001         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.259       | 0.285 |
| 10 |          0.01         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.257       | 0.285 |
| 10 |  0.09999999999999999  |  6  |         RBF(γ = 1.0)          |       0.312       |       0.257       | 0.285 |
| 10 |          1.0          |  6  |         RBF(γ = 1.0)          |       0.312       |        0.26       | 0.286 |
| 10 |          10.0         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.257       | 0.285 |
| 10 | 9.999999999999999e-05 |  7  |        RBF(γ = 0.001)         |       0.861       |       0.342       | 0.601 |
| 10 |         0.001         |  7  |        RBF(γ = 0.001)         |       0.479       |       0.141       |  0.31 |
| 10 |          0.01         |  7  |        RBF(γ = 0.001)         |       0.397       |        0.13       | 0.263 |
| 10 |  0.09999999999999999  |  7  |        RBF(γ = 0.001)         |        0.3        |       0.104       | 0.202 |
| 10 |          1.0          |  7  |        RBF(γ = 0.001)         |       0.274       |        0.09       | 0.182 |
| 10 |          10.0         |  7  |        RBF(γ = 0.001)         |       0.251       |       0.083       | 0.167 |
| 10 | 9.999999999999999e-05 |  7  |         RBF(γ = 0.01)         |       0.403       |       0.095       | 0.249 |
| 10 |         0.001         |  7  |         RBF(γ = 0.01)         |       0.429       |       0.101       | 0.265 |
| 10 |          0.01         |  7  |         RBF(γ = 0.01)         |       0.405       |       0.095       |  0.25 |
| 10 |  0.09999999999999999  |  7  |         RBF(γ = 0.01)         |        0.29       |       0.079       | 0.185 |
| 10 |          1.0          |  7  |         RBF(γ = 0.01)         |       0.231       |        0.07       | 0.151 |
| 10 |          10.0         |  7  |         RBF(γ = 0.01)         |       0.198       |        0.06       | 0.129 |
| 10 | 9.999999999999999e-05 |  7  | RBF(γ = 0.09999999999999999)  |       0.873       |       0.608       | 0.741 |
| 10 |         0.001         |  7  | RBF(γ = 0.09999999999999999)  |       0.801       |       0.286       | 0.543 |
| 10 |          0.01         |  7  | RBF(γ = 0.09999999999999999)  |       0.215       |       0.084       | 0.149 |
| 10 |  0.09999999999999999  |  7  | RBF(γ = 0.09999999999999999)  |       0.215       |       0.084       | 0.149 |
| 10 |          1.0          |  7  | RBF(γ = 0.09999999999999999)  |       0.322       |       0.242       | 0.282 |
| 10 |          10.0         |  7  | RBF(γ = 0.09999999999999999)  |       0.202       |       0.071       | 0.137 |
| 10 | 9.999999999999999e-05 |  7  |         RBF(γ = 1.0)          |       0.332       |       0.306       | 0.319 |
| 10 |         0.001         |  7  |         RBF(γ = 1.0)          |       0.319       |       0.291       | 0.305 |
| 10 |          0.01         |  7  |         RBF(γ = 1.0)          |       0.322       |       0.296       | 0.309 |
| 10 |  0.09999999999999999  |  7  |         RBF(γ = 1.0)          |        0.32       |       0.296       | 0.308 |
| 10 |          1.0          |  7  |         RBF(γ = 1.0)          |       0.317       |       0.291       | 0.304 |
| 10 |          10.0         |  7  |         RBF(γ = 1.0)          |        0.32       |       0.293       | 0.306 |
| 10 | 9.999999999999999e-05 |  0  |        RBF(γ = 0.001)         |       0.865       |       0.333       | 0.599 |
| 10 |         0.001         |  0  |        RBF(γ = 0.001)         |       0.482       |       0.136       | 0.309 |
| 10 |          0.01         |  0  |        RBF(γ = 0.001)         |       0.511       |       0.276       | 0.394 |
| 10 |  0.09999999999999999  |  0  |        RBF(γ = 0.001)         |        0.32       |        0.11       | 0.215 |
| 10 |          1.0          |  0  |        RBF(γ = 0.001)         |       0.264       |        0.09       | 0.177 |
| 10 |          10.0         |  0  |        RBF(γ = 0.001)         |       0.245       |        0.07       | 0.157 |
| 10 | 9.999999999999999e-05 |  0  |         RBF(γ = 0.01)         |       0.759       |       0.273       | 0.516 |
| 10 |         0.001         |  0  |         RBF(γ = 0.01)         |       0.449       |       0.107       | 0.278 |
| 10 |          0.01         |  0  |         RBF(γ = 0.01)         |       0.448       |       0.107       | 0.277 |
| 10 |  0.09999999999999999  |  0  |         RBF(γ = 0.01)         |       0.328       |       0.078       | 0.203 |
| 10 |          1.0          |  0  |         RBF(γ = 0.01)         |       0.206       |       0.058       | 0.132 |
