INFO - +---------------------+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
|          K          |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
|         0.01        |  0.09999999999999999  |  0  |         RBF(γ = 0.01)         |       0.245       |       0.073       | 0.159 |
|         0.01        |          1.0          |  0  |         RBF(γ = 0.01)         |       0.183       |       0.059       | 0.121 |
|         0.01        |          10.0         |  0  |         RBF(γ = 0.01)         |       0.131       |       0.044       | 0.087 |
|         0.01        | 9.999999999999999e-05 |  0  | RBF(γ = 0.09999999999999999)  |       0.264       |       0.159       | 0.212 |
|         0.01        |         0.001         |  0  | RBF(γ = 0.09999999999999999)  |       0.264       |       0.159       | 0.212 |
|         0.01        |          0.01         |  0  | RBF(γ = 0.09999999999999999)  |       0.264       |       0.159       | 0.212 |
|         0.01        |  0.09999999999999999  |  0  | RBF(γ = 0.09999999999999999)  |       0.264       |       0.159       | 0.212 |
|         0.01        |          1.0          |  0  | RBF(γ = 0.09999999999999999)  |       0.259       |       0.153       | 0.206 |
|         0.01        |          10.0         |  0  | RBF(γ = 0.09999999999999999)  |       0.259       |        0.15       | 0.204 |
|         0.01        | 9.999999999999999e-05 |  0  |         RBF(γ = 1.0)          |       0.381       |       0.369       | 0.375 |
|         0.01        |         0.001         |  0  |         RBF(γ = 1.0)          |       0.373       |       0.368       | 0.371 |
|         0.01        |          0.01         |  0  |         RBF(γ = 1.0)          |       0.376       |       0.371       | 0.373 |
|         0.01        |  0.09999999999999999  |  0  |         RBF(γ = 1.0)          |       0.381       |       0.371       | 0.376 |
|         0.01        |          1.0          |  0  |         RBF(γ = 1.0)          |       0.382       |       0.373       | 0.377 |
|         0.01        |          10.0         |  0  |         RBF(γ = 1.0)          |       0.381       |       0.372       | 0.376 |
| 0.09999999999999999 | 9.999999999999999e-05 |  6  |        RBF(γ = 0.001)         |       0.778       |       0.456       | 0.617 |
| 0.09999999999999999 |         0.001         |  6  |        RBF(γ = 0.001)         |       0.778       |       0.456       | 0.617 |
| 0.09999999999999999 |          0.01         |  6  |        RBF(γ = 0.001)         |       0.405       |       0.149       | 0.277 |
